"18938,""spm"","""",""520505"",""31051"",""52816"",""Carn. Mus. No. 563"","""","""","""",""humerus"","""",""1"",""table"","""","""",""Brontosaurus parvus"",""species"",""319100"","""",""Brontosaurus parvus"",""species"",""66540"",""154.8"",""145"",""14349""";
"18939,""spm"","""",""520505"",""31051"",""52816"",""Carn. Mus. No. 563"","""","""","""",""radius"","""",""1"",""table"","""",""width is at middle of shaft"",""Brontosaurus parvus"",""species"",""319100"","""",""Brontosaurus parvus"",""species"",""66540"",""154.8"",""145"",""14349""";
"18940,""spm"","""",""520505"",""31051"",""52816"",""Carn. Mus. No. 563"","""","""","""",""ulna"","""",""1"",""table"","""","""",""Brontosaurus parvus"",""species"",""319100"","""",""Brontosaurus parvus"",""species"",""66540"",""154.8"",""145"",""14349""";
"18980,""spm"","""",""472698"",""13527"",""46992"",""U.S.N.M. Cat. No. 10,486"",""holotype"","""",""left"",""scapula"","""",""1"",""table"","""",""estimated length and """"greatest breadth inferior (oblique)"""""",""Alamosaurus sanjuanensis"",""species"",""63399"","""",""Alamosaurus sanjuanensis"",""species"",""63399"",""72.1"",""66"",""14569""";
"19039,""spm"","""",""475161"",""30612"",""47147"",""HMN SII"",""holotype"","""","""",""ilium"","""",""1"",""table"","""","""",""Brachiosaurus brancai"",""species"",""64501"",""recombined as"",""Giraffatitan brancai"",""species"",""64501"",""152.2"",""145"",""14554""";
"19040,""spm"","""",""475161"",""30612"",""47147"",""HMN SII"",""holotype"","""","""",""pubis"","""",""1"",""table"","""","""",""Brachiosaurus brancai"",""species"",""64501"",""recombined as"",""Giraffatitan brancai"",""species"",""64501"",""152.2"",""145"",""14554""";
"19041,""spm"","""",""483495"",""0"",""48377"",""HMN XV2"","""","""","""",""scapula"","""",""1"",""table"","""","""",""Brachiosaurus brancai"",""species"",""64501"",""recombined as"",""Giraffatitan brancai"",""species"",""64501"",""149.2"",""145"",""14554""";
"19042,""spm"","""",""483495"",""0"",""48377"",""HMN XV2"","""","""","""",""humerus"","""",""1"",""table"","""","""",""Brachiosaurus brancai"",""species"",""64501"",""recombined as"",""Giraffatitan brancai"",""species"",""64501"",""149.2"",""145"",""14554""";
"19043,""spm"","""",""483495"",""0"",""48377"",""HMN XV2"","""","""","""",""femur"","""",""1"",""table"","""","""",""Brachiosaurus brancai"",""species"",""64501"",""recombined as"",""Giraffatitan brancai"",""species"",""64501"",""149.2"",""145"",""14554""";
"19044,""spm"","""",""483495"",""0"",""48377"",""HMN XV2"","""","""","""",""fibula"","""",""1"",""table"","""","""",""Brachiosaurus brancai"",""species"",""64501"",""recombined as"",""Giraffatitan brancai"",""species"",""64501"",""149.2"",""145"",""14554""";
"19045,""spm"","""",""475162"",""0"",""47148"",""HMN Y"","""","""","""",""scapula"","""",""1"",""table"","""","""",""Brachiosaurus fraasi"",""species"",""64502"",""subjective synonym of"",""Giraffatitan brancai"",""species"",""64501"",""152.2"",""149.2"",""14554""";
"19046,""spm"","""",""475162"",""0"",""47148"",""HMN Y"","""","""","""",""humerus"","""",""1"",""table"","""","""",""Brachiosaurus fraasi"",""species"",""64502"",""subjective synonym of"",""Giraffatitan brancai"",""species"",""64501"",""152.2"",""149.2"",""14554""";
"19047,""spm"","""",""483495"",""0"",""48377"",""HMN XV1"","""","""","""",""femur"","""",""1"",""table"","""","""",""Brachiosaurus brancai"",""species"",""64501"",""recombined as"",""Giraffatitan brancai"",""species"",""64501"",""149.2"",""145"",""14554""";
"19048,""spm"","""",""483438"",""0"",""48358"",""HMN KI24"","""","""","""",""scapula"","""",""1"",""table"","""","""",""Brachiosaurus brancai"",""species"",""64501"",""recombined as"",""Giraffatitan brancai"",""species"",""64501"",""149.2"",""145"",""14554""";
"19049,""spm"","""",""483438"",""0"",""48358"",""HMN KI24"","""","""","""",""femur"","""",""1"",""table"","""","""",""Brachiosaurus brancai"",""species"",""64501"",""recombined as"",""Giraffatitan brancai"",""species"",""64501"",""149.2"",""145"",""14554""";
"19050,""spm"","""",""483438"",""0"",""48358"",""HMN KI24"","""","""","""",""tibia"","""",""1"",""table"","""",""tibia-astragalus"",""Brachiosaurus brancai"",""species"",""64501"",""recombined as"",""Giraffatitan brancai"",""species"",""64501"",""149.2"",""145"",""14554""";
"19051,""spm"","""",""483438"",""0"",""48358"",""HMN KI24"","""","""","""",""fibula"","""",""1"",""table"","""","""",""Brachiosaurus brancai"",""species"",""64501"",""recombined as"",""Giraffatitan brancai"",""species"",""64501"",""149.2"",""145"",""14554""";
"19052,""spm"","""",""475067"",""0"",""47123"",""HMN D"","""","""","""",""humerus"","""",""1"",""table"","""","""",""Brachiosaurus brancai"",""species"",""64501"",""recombined as"",""Giraffatitan brancai"",""species"",""64501"",""149.2"",""145"",""14554""";
"19053,""spm"","""",""483505"",""0"",""48385"",""HMN Sa9"","""","""","""",""scapula"","""",""1"",""table"","""","""",""Brachiosaurus brancai"",""species"",""64501"",""recombined as"",""Giraffatitan brancai"",""species"",""64501"",""149.2"",""145"",""14554""";
"19054,""spm"","""",""483505"",""0"",""48385"",""HMN Sa9"","""","""","""",""ilium"","""",""1"",""table"","""","""",""Brachiosaurus brancai"",""species"",""64501"",""recombined as"",""Giraffatitan brancai"",""species"",""64501"",""149.2"",""145"",""14554""";
"19055,""spm"","""",""483505"",""0"",""48385"",""HMN Sa9"","""","""","""",""pubis"","""",""1"",""table"","""","""",""Brachiosaurus brancai"",""species"",""64501"",""recombined as"",""Giraffatitan brancai"",""species"",""64501"",""149.2"",""145"",""14554""";
"19056,""spm"","""",""483505"",""0"",""48385"",""HMN Sa9"","""","""","""",""ischium"","""",""1"",""table"","""","""",""Brachiosaurus brancai"",""species"",""64501"",""recombined as"",""Giraffatitan brancai"",""species"",""64501"",""149.2"",""145"",""14554""";
"19057,""spm"","""",""483505"",""0"",""48385"",""HMN Sa9"","""","""","""",""femur"","""",""1"",""table"","""","""",""Brachiosaurus brancai"",""species"",""64501"",""recombined as"",""Giraffatitan brancai"",""species"",""64501"",""149.2"",""145"",""14554""";
"19058,""spm"","""",""483505"",""0"",""48385"",""HMN Sa9"","""","""","""",""tibia"","""",""1"",""table"","""",""tibia-astragalus"",""Brachiosaurus brancai"",""species"",""64501"",""recombined as"",""Giraffatitan brancai"",""species"",""64501"",""149.2"",""145"",""14554""";
"19059,""spm"","""",""483505"",""0"",""48385"",""HMN Sa9"","""","""","""",""fibula"","""",""1"",""table"","""","""",""Brachiosaurus brancai"",""species"",""64501"",""recombined as"",""Giraffatitan brancai"",""species"",""64501"",""149.2"",""145"",""14554""";
