"dataset","m","estimate_t","lower95_t","median_t","upper95_t"
"Extant fauna",58,0.108090445875237,0.0841059739657702,0.108087048022084,0.135479627319089
"Extant fauna",60,0.11226546276444,0.0871815699968455,0.112166928546768,0.141085518378838
"Extant fauna",63,0.118517275780408,0.0917242196049605,0.118276573807741,0.149579800082175
"Extant fauna",65,0.12267719822022,0.0945680677716854,0.12255305574975,0.155231080419379
"Extant fauna",68,0.128903957543954,0.0986334551932494,0.128881451038441,0.163656196606023
"Extant fauna",70,0.133045782428691,0.101387914168176,0.133056638723811,0.169239950994016
"Extant fauna",73,0.139243616581149,0.105277681783022,0.139237315909212,0.177681413056858
"Extant fauna",76,0.145422673762285,0.109506064068898,0.145292054318805,0.186264436072238
"Extant fauna",79,0.15158210676287,0.11361644469944,0.151509411367763,0.194611977799572
"Extant fauna",82,0.157721215595036,0.117801465965644,0.157654379095169,0.20335466937374
"Extant fauna",86,0.165874100603658,0.123078176501247,0.1658560107941,0.215506848322137
"Extant fauna",89,0.171963732434682,0.126987802687801,0.171856036718904,0.224557317041074
"Extant fauna",93,0.180049199166864,0.132401250639694,0.179812907066589,0.235947032464531
"Extant fauna",96,0.186087424337889,0.136464024155107,0.185700483184077,0.244592030113047
"Extant fauna",100,0.194103524448164,0.141792469578503,0.19356903681903,0.256335284815816
"Extant fauna",104,0.20207949715122,0.1471653427388,0.20158492889927,0.267807317941788
"Extant fauna",108,0.210015163991806,0.152385952034177,0.209547099437969,0.278689735161679
"Extant fauna",113,0.219877975927175,0.159285421332391,0.219386236065133,0.292050481304607
"Extant fauna",117,0.227722852925104,0.164745466254977,0.227100310262001,0.302722497327314
"Extant fauna",122,0.237472429901443,0.171396727347327,0.236851953100118,0.316512167444767
"Extant fauna",127,0.247159554001008,0.17783884234939,0.246383505426599,0.33139486400657
"Extant fauna",132,0.256784704950937,0.184073883590573,0.25600958451696,0.345221219563736
"Extant fauna",137,0.266348452719788,0.190402110061699,0.265537847142089,0.359022335885885
"Extant fauna",142,0.275851437194351,0.196426769230256,0.27490779835582,0.372895948626154
"Extant fauna",148,0.28717579037329,0.203542335543593,0.286138755179905,0.389128170532151
"Extant fauna",154,0.298414918079827,0.210735417117042,0.297673953479993,0.405771939489821
"Extant fauna",160,0.309570151264484,0.21734007248345,0.308676266550985,0.421999991906318
"Extant fauna",166,0.320642858533935,0.224184655888778,0.319667457317874,0.438129420227096
"Extant fauna",173,0.333458569029678,0.232055576114514,0.332042390737776,0.455416731547059
"Extant fauna",180,0.346166068345019,0.240248293444854,0.344239302070836,0.473020201232529
"Extant fauna",187,0.358767576774907,0.248200257936057,0.356727688785576,0.491147863803796
"Extant fauna",195,0.373042340102399,0.257148019982736,0.371098964595842,0.510909256523083
"Extant fauna",202,0.385424104384429,0.265519555488699,0.38301240442747,0.528031757597894
"Extant fauna",210,0.399453373746366,0.274415785149244,0.396801350277861,0.54783321749942
"Extant fauna",219,0.415085332389375,0.284032096443243,0.412188043021043,0.570306538558826
"Extant fauna",227,0.428849557400988,0.291343240332622,0.426133489312516,0.590278225632489
"Extant fauna",237,0.445886288171987,0.301256644321577,0.443334642808779,0.614143205269536
"Extant fauna",246,0.461063473337252,0.310298861894287,0.45880679373473,0.635230492975957
"Extant fauna",256,0.477758707624314,0.320654850474351,0.475294757222888,0.658499236903546
"Extant fauna",266,0.494281719008315,0.330912549135583,0.491566674528042,0.681217269997138
"Extant fauna",277,0.512263960419707,0.341910952512079,0.509482556433348,0.706327349516396
"Extant fauna",288,0.530049980868771,0.352330820984627,0.526635347878057,0.733656623632983
"Extant fauna",299,0.547645730781586,0.362048459280201,0.54394219308834,0.762470295431211
"Extant fauna",311,0.566630752033115,0.373356443383871,0.562687031616337,0.789776470258724
"Extant fauna",323,0.58540309451513,0.384714315492572,0.581049924138902,0.815878144887083
"Extant fauna",336,0.605507513030592,0.396474849544691,0.600931369226885,0.846299646728452
"Extant fauna",350,0.626897221229055,0.40896218852774,0.622521709745186,0.877773437018392
"Extant fauna",364,0.648025294797245,0.421538181419754,0.644155268610968,0.907547343079079
"Extant fauna",378,0.668900680249312,0.434067657398414,0.66446842001089,0.938716812719908
"Extant fauna",393,0.690996350779211,0.447091466450057,0.685407095521518,0.969741741435137
"Extant fauna",409,0.714267068405204,0.460596636646039,0.708281337177424,1.00412026459642
"Extant fauna",425,0.737241137365763,0.47454079269206,0.73030088812284,1.03651938474668
"Extant fauna",442,0.761337823701493,0.487293242148464,0.754015183422013,1.07126329877511
"Extant fauna",460,0.786513097858215,0.499700432746403,0.77810285226182,1.1102730130942
"Extant fauna",478,0.81135279719862,0.51305158608309,0.802486580669357,1.14886322864981
"Extant fauna",497,0.837222114682344,0.527479368601943,0.828844492408174,1.18780453515807
"Extant fauna",517,0.864078980827193,0.541410710253574,0.855621021284975,1.23366463165212
"Extant fauna",537,0.890566925295294,0.555854975763444,0.880778318345701,1.27918684365348
"Extant fauna",559,0.919294200011264,0.571128225493846,0.908266882103951,1.32685195005584
"Extant fauna",581,0.947609327724993,0.585118394111203,0.936128153341224,1.3710639548238
"Extant fauna",604,0.976788412191001,0.598885702227397,0.964695187772179,1.41479779194644
"Extant fauna",628,1.0067934466158,0.612804696431118,0.99409163387892,1.46282002764151
"Extant fauna",653,1.03758736741503,0.627458670595838,1.02582711271226,1.51801724855045
