,Route,Head.Length,SV.length,Total.Length,Tail.Girth,Neck.Girth,Chest.Girth,Weight,Sex,Deformities_Notes
226,WCA3A-N41_Marsh,NA,87,133.5,34,32,40,12,M,Incomplete tail
227,WCA3A-N41_Marsh,26.5,98.5,199,37,33,45.5,18,F,None
228,WCA3A-N41_Marsh,33,119.5,235,49,44,54,44,M,None
229,WCA3A-N41_Marsh,16.2,60.5,121.5,22.8,21.3,28.5,4.5,M,None
230,WCA3A-N41_Marsh,35.5,126.9,246.4,54.6,53,62.5,54,M,None
231,WCA3A-N41_Marsh,17.5,65.5,131.5,25.3,23.8,28.5,5.6,F,None
232,WCA3A-N41_Marsh,33.6,128.5,247,50.8,52.7,63.8,42,M,None
233,WCA3A-N41_Marsh,18.9,71,148.5,28.6,29,33,7.9,M,None
234,WCA2A_Marsh,18.5,64.6,133.2,26.1,24.1,32,6.5,F,None
235,WCA2A_Marsh,22,79.1,161.7,33.2,32.4,37.9,12,F,None
236,WCA2A_Marsh,17.9,62.3,130.6,24.1,25,30,5.25,F,None
237,WCA2A_Marsh,22.3,76.5,153.8,32.1,30,35.3,10,F,None
238,WCA2A_Marsh,35.3,126,242,40,40.3,54.5,32,M,None
239,WCA2A_Marsh,29.8,108.4,215.5,44.5,40,47.8,25.4,M,None
240,WCA3A-HD_Marsh,29,105,211,43.4,43,52,30,F,None
241,WCA3A-HD_Marsh,17,61,124,23.5,23,26,5.2,M,None
242,WCA3A-HD_Marsh,33.6,120.5,236.3,47.6,45.5,56.4,30,M,None
243,WCA3A-HD_Marsh,30,109.5,213.5,41,40,48.5,28,F,None
244,WCA3A-HD_Marsh,29,105.5,209.5,44.5,41,50.5,26,F,None
245,WCA3A-HD_Marsh,33,117,230.5,51,48,58.5,38,F,None
246,WCA3A-HD_Marsh,31.6,114.4,227.9,47.2,46,56.5,38,F,Missing first single
247,WCA3A-HD_Marsh,28.5,105,214.5,45,44.2,49.5,30,F,None
248,WCA3A-HD_Marsh,35.5,127.5,249.5,52.5,51,62.5,45,M,Missing fifth double left scute
249,WCA3A-HD_Marsh,19.2,73,145,28.9,27.6,32.9,7.5,M,None
250,WCA3A-HD_Marsh,15.5,58,117.5,24.5,25,28.3,4.5,M,None
251,WCA3A-HD_Marsh,21,80,161,33,30.6,36,11.6,F,None
252,WCA3A-HD_Marsh,26.5,97.7,190,40.7,42.5,52.3,22,F,None
253,WCA3A-HD_Marsh,17.9,67.1,132,23.6,23.8,26.1,5.25,F,None
254,WCA3A-HD_Marsh,21.2,77.3,153,31,30.6,35,10,F,None
255,ENP-EST,36.3,128.5,262,57.8,53.2,72.3,41,M,None
256,ENP-EST,34.2,122.6,227.6,47.4,46.8,56.4,42,M,Incomplete tail
257,ENP-EST,23.2,86.5,175,34.2,31.8,42.3,13.5,M,None
258,ENP-EST,24.1,85.1,167.5,32.5,31.5,39.8,13.2,M,None
259,ENP-EST,18.6,65,134.3,22.2,23.3,28.5,5,F,None
260,ENP-EST,36,126.5,202,38.8,44.5,54,32,M,Incomplete tail
261,ENP-EST,28.2,107.2,212.7,38.4,37,48.2,23,M,None
262,ENP-EST,30.5,119,233,46,45.3,54.4,35,M,Bites on tail
263,ENP-EST,30.5,106.4,211.4,43.5,41.4,58.6,26,M,"Tail has been bitten badly, lower back in front of rear legs distorted--sunken on one side"
264,ENP-EST,26.9,96.6,185.6,40.5,39.2,50.5,22,M,None
265,ENP-EST,34.7,124.6,239,45.8,46.8,59.5,39,M,None
266,Lox_Marsh,21.3,78.5,157,31.5,30.4,36,10,U,None
267,Lox_Marsh,29.9,110,212.8,43.5,42,54.5,27,U,None
268,Lox_Marsh,22.8,86.7,169.3,35.5,33,40.5,13,U,None
269,Lox_Marsh,27.6,107.5,210.4,45.5,45.5,57,28,U,None
270,Lox_Marsh,25.8,97.5,198.7,39,38,46.5,20.2,U,Missing 2 toes on rt. front foot
271,Lox_Marsh,27.2,101.5,196.2,42.5,40.6,50,24,U,None
272,Lox_Marsh,30.3,115.5,222.4,45.6,45.5,55.5,33,U,None
273,Lox_Marsh,26.6,101,191,40.8,43.5,53,21.5,U,None
274,Lox_Marsh,29.2,112,220.3,45.6,43.5,54,30.5,U,None
275,WCA2A_Marsh,27.8,101.2,205.1,38.1,40,46,21.5,F,Broken jaw
276,WCA2A_Marsh,28.3,105.5,206,47,42,54.8,28,F,None
277,WCA2A_Marsh,26.7,105,197,40,44,54.5,25.4,F,None
278,WCA2A_Marsh,34,129,251,53,55,64,NA,M,None
279,WCA2A_Marsh,28.4,108.5,212,43.5,40.5,55,27.5,F,None
280,WCA2A_Marsh,25.5,97.6,193.5,44,41.5,49,25,M,None
281,WCA3A-HD_Marsh,17,64.4,125.8,22.4,21.7,25.8,4.5,F,None
282,WCA3A-HD_Marsh,28.3,102.5,202,42,40.5,49,26,F,None
283,WCA3A-HD_Marsh,24.3,86,178.5,36.5,36.5,42.5,15.5,M,None
284,WCA3A-HD_Marsh,27.3,102.2,197.5,42,23,48.8,26,F,None
285,WCA3A-HD_Marsh,28.3,104.9,203.6,40,40,15.5,25.5,F,Scar on top of jaw
286,WCA3A-HD_Marsh,29.2,106.8,204.6,43.4,40.2,52.1,28.5,M,Battle wound various minor
287,Lox_Marsh,22.8,82.5,165,32,30.5,36,11.5,M,None
288,Lox_Marsh,25,96,186.7,36.7,36.1,43.2,17.5,F,None
289,Lox_Marsh,27,103,196,39.5,38.7,47,23,F,None
290,Lox_Marsh,28,105.2,203.1,43,42.1,48.1,26,M,None
291,WCA2A_Marsh,22.3,82.6,164.2,32.5,31,39,12,M,None
292,WCA2A_Marsh,26,93,190.5,34,36,40,16.8,F,None
293,WCA2A_Marsh,39.5,142.5,283.5,48,52.5,63.5,NA,M,None
294,WCA2A_Marsh,16.5,59.3,121,22,20.2,25.9,4.4,F,None
295,WCA3A-HD_Marsh,28,104.5,207.5,44.8,43.5,51,27,F,None
296,WCA3A-HD_Marsh,25.5,94.5,189,37.4,36.5,47,18.8,M,None
297,WCA3A-HD_Marsh,29.5,109,215.5,44,44,52,28.5,F,None
298,WCA3A-HD_Marsh,20,71.6,139.5,28,27.5,34.5,8.3,F,None
299,WCA3A-HD_Marsh,15.9,54.4,110.5,19.9,18.6,23.9,3,U,None
300,WCA3A-HD_Marsh,29.8,110,210,43,43,52,30.5,F,None
301,WCA3A-N41_Marsh,28.4,102,204,42.3,44.4,51.7,25,M,None
302,WCA3A-N41_Marsh,20,72.2,147.5,29.8,29.1,35.4,9,M,None
303,WCA3A-N41_Marsh,37.8,128,253.5,54.7,53.2,73.9,NA,M,None
304,WCA3A-N41_Marsh,23.5,92.8,183,36.8,33.2,40.7,16.5,F,None
305,WCA3A-N41_Marsh,28.3,102,205.5,41.6,40,47.5,23,M,None
306,WCA3A-N41_Marsh,20.3,74.8,150.5,29.8,28.3,33.3,9,M,None
307,WCA3A-N41_Marsh,34.5,126,246,53.6,48.7,63.6,NA,M,None
308,WCA3A-N41_Marsh,26.5,99.5,201,44.5,39.5,49,26,F,None
309,WCA3A-N41_Marsh,22.6,85.5,167.5,32.5,31,37.5,12.8,M,None
310,WCA3A-N41_Marsh,32,124,232.5,48.5,49,55,37.5,M,None
311,WCA3A-N41_Marsh,20.2,76.5,150,29.5,29,33,10.3,F,None
312,WCA3A-N41_Marsh,26.4,102.7,201,40.2,39.5,47,20.5,M,None
